st,stf
FL,12
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
OR,41
KS,20
FL,12
FL,12
TX,48
AZ,4
TX,48
MS,28
MS,28
MS,28
AL,1
SC,45
TX,48
TX,48
TX,48
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
GA,13
FL,12
FL,12
FL,12
FL,12
TX,48
LA,22
MS,28
MS,28
AL,1
AL,1
GA,13
GA,13
GA,13
GA,13
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
LA,22
LA,22
MS,28
FL,12
GA,13
FL,12
SC,45
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
TX,48
OK,40
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
AL,1
GA,13
LA,22
MS,28
KY,21
TN,47
FL,12
GA,13
TX,48
FL,12
AZ,4
TX,48
LA,22
LA,22
LA,22
MS,28
OH,39
VA,51
VA,51
TX,48
KS,20
MO,29
OK,40
MO,29
OK,40
LA,22
LA,22
IA,19
MI,26
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
MI,26
NM,35
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
TX,48
LA,22
MS,28
IN,18
MO,29
IN,18
OH,39
AL,1
AL,1
GA,13
WV,54
SC,45
SC,45
SC,45
NC,37
SC,45
NC,37
SC,45
NC,37
SC,45
FL,12
NC,37
TX,48
TX,48
IN,18
OK,40
MO,29
MO,29
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
OK,40
FL,12
NM,35
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
PR,72
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
CO,8
KS,20
NM,35
TX,48
NM,35
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
NM,35
TX,48
OK,40
TX,48
TX,48
TX,48
TX,48
KS,20
CO,8
MS,28
MS,28
TX,48
MS,28
MS,28
OH,39
KY,21
MS,28
KY,21
OH,39
OH,39
IL,17
IN,18
IN,18
IN,18
IN,18
IN,18
OH,39
KY,21
OH,39
OH,39
OH,39
FL,12
TX,48
TX,48
TX,48
NE,31
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
KS,20
TX,48
NE,31
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
GA,13
TX,48
FL,12
FL,12
WY,56
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
NM,35
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
GA,13
TX,48
TX,48
TX,48
MS,28
MS,28
NY,36
AL,1
AL,1
MS,28
FL,12
AL,1
AL,1
AL,1
GA,13
GA,13
OH,39
SC,45
FL,12
TX,48
FL,12
FL,12
TX,48
FL,12
LA,22
TX,48
KS,20
KS,20
WI,55
VT,50
MA,25
UT,49
UT,49
UT,49
WI,55
WI,55
WI,55
MN,27
NE,31
CO,8
KS,20
OH,39
NY,36
TX,48
TX,48
NM,35
WI,55
WI,55
IA,19
IA,19
FL,12
WI,55
FL,12
WI,55
FL,12
FL,12
NH,33
FL,12
IA,19
IA,19
TX,48
OK,40
NM,35
FL,12
TX,48
WY,56
FL,12
SD,46
TX,48
OK,40
NE,31
TX,48
OK,40
IA,19
WI,55
TX,48
TX,48
FL,12
NM,35
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
KS,20
VA,51
MS,28
TX,48
NY,36
NY,36
ID,16
FL,12
VA,51
CO,8
MS,28
KS,20
NE,31
MO,29
NE,31
NE,31
IA,19
IA,19
IA,19
MO,29
MO,29
MO,29
MO,29
OK,40
TX,48
KS,20
TX,48
OK,40
OR,41
OK,40
OK,40
OK,40
MO,29
OK,40
MS,28
TN,47
MS,28
IL,17
WY,56
OH,39
NE,31
KS,20
NE,31
NE,31
NE,31
SD,46
MN,27
SD,46
SD,46
MN,27
SD,46
ND,38
MN,27
SD,46
OK,40
MI,26
WI,55
WI,55
WI,55
WI,55
MI,26
KS,20
IA,19
IA,19
WI,55
WI,55
WI,55
WI,55
MO,29
MO,29
MO,29
MO,29
IA,19
IA,19
OK,40
OK,40
IA,19
SD,46
AL,1
WI,55
IA,19
IA,19
WI,55
IA,19
IA,19
MO,29
WI,55
IA,19
MO,29
WI,55
IL,17
IN,18
IN,18
FL,12
WI,55
WI,55
FL,12
MI,26
MI,26
OH,39
OH,39
OH,39
MI,26
MD,24
CO,8
CO,8
WV,54
VA,51
FL,12
FL,12
MO,29
SD,46
SD,46
KS,20
AL,1
KS,20
KS,20
KS,20
NE,31
SD,46
SD,46
LA,22
SD,46
SD,46
SD,46
MI,26
NY,36
MN,27
MS,28
SD,46
SD,46
SD,46
MS,28
SD,46
CO,8
FL,12
LA,22
NE,31
LA,22
LA,22
SD,46
TX,48
WI,55
MN,27
MT,30
MN,27
TX,48
CO,8
SD,46
SD,46
MN,27
WI,55
MN,27
TX,48
TX,48
SD,46
NE,31
NE,31
NE,31
IA,19
IA,19
IA,19
NE,31
SD,46
SD,46
GA,13
GA,13
KY,21
FL,12
FL,12
SD,46
WY,56
NE,31
GA,13
IL,17
NY,36
OK,40
NY,36
IA,19
MN,27
MN,27
IL,17
IA,19
MO,29
WI,55
AL,1
OH,39
PA,42
MD,24
TX,48
TX,48
AZ,4
NE,31
AZ,4
ND,38
NC,37
CO,8
CO,8
ND,38
ND,38
ND,38
MN,27
MN,27
MN,27
MN,27
MN,27
MN,27
MN,27
MN,27
MN,27
MN,27
MN,27
MN,27
NE,31
SD,46
IA,19
IA,19
SD,46
ME,23
IA,19
SD,46
IN,18
IL,17
IN,18
IN,18
IN,18
OH,39
IN,18
WV,54
VA,51
MS,28
VA,51
FL,12
FL,12
FL,12
WI,55
SD,46
GA,13
ND,38
FL,12
TX,48
TX,48
TX,48
FL,12
SC,45
SC,45
IN,18
AZ,4
AR,5
FL,12
FL,12
SD,46
MO,29
ND,38
TX,48
AL,1
TX,48
TX,48
NH,33
TX,48
FL,12
GA,13
IL,17
IL,17
MN,27
MN,27
MN,27
IN,18
IN,18
IN,18
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
FL,12
FL,12
MT,30
TX,48
IA,19
FL,12
SC,45
SC,45
NC,37
NC,37
FL,12
NC,37
KS,20
FL,12
AR,5
PR,72
LA,22
IL,17
IL,17
MO,29
OK,40
MO,29
TX,48
TX,48
TX,48
TX,48
CA,6
TX,48
TX,48
TX,48
TX,48
FL,12
FL,12
FL,12
PA,42
TX,48
LA,22
FL,12
FL,12
FL,12
WA,53
LA,22
MS,28
FL,12
FL,12
LA,22
LA,22
FL,12
FL,12
FL,12
GA,13
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
LA,22
AL,1
FL,12
FL,12
FL,12
FL,12
TX,48
FL,12
FL,12
LA,22
GA,13
TX,48
TX,48
TX,48
MS,28
MS,28
MS,28
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
GA,13
KS,20
KS,20
TX,48
TX,48
TX,48
TX,48
TX,48
MS,28
AL,1
FL,12
FL,12
FL,12
LA,22
LA,22
AL,1
AL,1
GA,13
MO,29
IL,17
MO,29
FL,12
PA,42
NM,35
AL,1
NM,35
TN,47
MO,29
KY,21
TN,47
MS,28
MS,28
KY,21
TN,47
AL,1
GA,13
AL,1
GA,13
GA,13
GA,13
GA,13
OH,39
OH,39
OH,39
OH,39
GA,13
MO,29
MO,29
SD,46
MN,27
NM,35
NM,35
NM,35
TX,48
TX,48
TX,48
TX,48
TX,48
NM,35
OK,40
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
TN,47
MS,28
UT,49
AR,5
AR,5
IL,17
MO,29
MO,29
FL,12
GA,13
IN,18
IN,18
IN,18
IN,18
IN,18
IN,18
MN,27
MN,27
WI,55
WI,55
WI,55
WI,55
WI,55
KY,21
WV,54
IN,18
WV,54
AR,5
KY,21
TN,47
MS,28
TN,47
TN,47
AL,1
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
AL,1
MS,28
AL,1
AL,1
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
OK,40
OK,40
TN,47
CA,6
MO,29
IN,18
IN,18
MN,27
MI,26
WI,55
OK,40
AR,5
OK,40
OK,40
IL,17
IL,17
MI,26
AR,5
AR,5
AR,5
AR,5
AR,5
MO,29
KS,20
KS,20
KS,20
IA,19
WI,55
IA,19
KS,20
MO,29
WI,55
IL,17
OK,40
MO,29
MS,28
MS,28
IA,19
OR,41
KS,20
KS,20
KS,20
TX,48
TX,48
IA,19
NE,31
OH,39
OH,39
TX,48
IA,19
IA,19
IA,19
OH,39
OH,39
NV,32
MO,29
MO,29
IN,18
IN,18
TX,48
TX,48
TX,48
TX,48
IN,18
TX,48
OH,39
TX,48
TX,48
OH,39
TX,48
TX,48
TX,48
IN,18
GA,13
IN,18
TX,48
WI,55
TX,48
KS,20
KS,20
IA,19
TX,48
TX,48
FL,12
LA,22
TX,48
IL,17
LA,22
GA,13
NM,35
NM,35
SC,45
TX,48
LA,22
GA,13
NM,35
NM,35
ND,38
OK,40
OK,40
OK,40
GA,13
MO,29
OK,40
TX,48
KS,20
SD,46
SD,46
TX,48
TX,48
TX,48
LA,22
MS,28
TX,48
IL,17
MO,29
AL,1
WV,54
MS,28
FL,12
UT,49
TX,48
ND,38
UT,49
ND,38
UT,49
KS,20
NE,31
OK,40
OK,40
OK,40
NE,31
OK,40
NE,31
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
KS,20
KS,20
OK,40
KS,20
ND,38
OK,40
KS,20
OK,40
OK,40
OH,39
MO,29
MO,29
NE,31
MO,29
MO,29
MO,29
FL,12
MO,29
MO,29
MO,29
MO,29
IA,19
MO,29
MO,29
SD,46
KS,20
MO,29
KY,21
KS,20
KS,20
KS,20
OH,39
KS,20
ND,38
SD,46
IL,17
SD,46
SD,46
SD,46
SD,46
IN,18
SD,46
SD,46
SD,46
SD,46
KS,20
SD,46
SD,46
SD,46
SD,46
SD,46
SD,46
SD,46
SD,46
MN,27
NE,31
NE,31
NE,31
SD,46
IL,17
IL,17
IL,17
SD,46
IL,17
IA,19
WI,55
TX,48
NY,36
PA,42
TN,47
PA,42
MA,25
CO,8
MO,29
SD,46
OK,40
ND,38
TN,47
KS,20
MO,29
IA,19
MS,28
OK,40
OK,40
VA,51
VA,51
TX,48
TX,48
AL,1
GA,13
TX,48
TX,48
NE,31
TX,48
FL,12
MN,27
MN,27
IN,18
OH,39
TX,48
LA,22
FL,12
CA,6
FL,12
WA,53
SD,46
MN,27
MN,27
OH,39
PA,42
VA,51
KS,20
IA,19
MO,29
FL,12
TN,47
AL,1
TX,48
TX,48
TX,48
FL,12
WI,55
MN,27
WI,55
WI,55
IL,17
LA,22
FL,12
FL,12
FL,12
FL,12
FL,12
MS,28
VA,51
FL,12
MA,25
FL,12
FL,12
FL,12
FL,12
CO,8
TX,48
NE,31
WI,55
WI,55
SD,46
IA,19
IA,19
NE,31
IA,19
OH,39
PA,42
SD,46
PA,42
NY,36
NJ,34
NH,33
OK,40
FL,12
FL,12
SD,46
MN,27
MN,27
MN,27
WI,55
GA,13
IL,17
MO,29
AZ,4
TX,48
GA,13
FL,12
GA,13
LA,22
NM,35
ND,38
WI,55
NH,33
OK,40
ND,38
SD,46
SD,46
WI,55
CO,8
PA,42
IA,19
AL,1
NC,37
MA,25
NE,31
NE,31
TX,48
VT,50
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MT,30
AR,5
AZ,4
TX,48
CO,8
FL,12
MA,25
NH,33
OK,40
TX,48
NC,37
MS,28
NY,36
MO,29
FL,12
FL,12
FL,12
FL,12
FL,12
ND,38
KS,20
OH,39
WV,54
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
FL,12
MA,25
TX,48
ND,38
ND,38
PA,42
PA,42
PA,42
PA,42
TX,48
TX,48
TX,48
TX,48
MO,29
IN,18
IN,18
KS,20
PA,42
OK,40
OH,39
OH,39
OK,40
OH,39
OK,40
TN,47
AR,5
AZ,4
CO,8
KS,20
NE,31
OK,40
ND,38
OK,40
MO,29
MO,29
OK,40
OH,39
KY,21
IA,19
IA,19
IA,19
WI,55
IA,19
IL,17
WI,55
TX,48
TX,48
TX,48
AR,5
OH,39
TX,48
TX,48
SD,46
MN,27
WI,55
OK,40
MS,28
IL,17
OK,40
OK,40
OH,39
OH,39
NY,36
TX,48
MI,26
CT,9
MA,25
ME,23
NH,33
ME,23
OK,40
OK,40
TX,48
AR,5
OK,40
OK,40
OK,40
OK,40
OK,40
AR,5
MO,29
IA,19
WI,55
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
LA,22
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MO,29
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
NJ,34
KS,20
AR,5
AR,5
AR,5
AR,5
TN,47
KY,21
IN,18
WA,53
WI,55
WI,55
WI,55
WI,55
UT,49
WI,55
GA,13
MS,28
MS,28
GA,13
TX,48
TX,48
TX,48
LA,22
AR,5
GA,13
NC,37
GA,13
FL,12
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
AL,1
AL,1
HI,15
HI,15
GA,13
MO,29
MO,29
OK,40
MS,28
MS,28
MS,28
MS,28
AL,1
FL,12
FL,12
GA,13
GA,13
GA,13
FL,12
FL,12
FL,12
GA,13
GA,13
GA,13
GA,13
FL,12
LA,22
MS,28
AL,1
MS,28
MS,28
MS,28
MS,28
TX,48
TX,48
OK,40
CO,8
KS,20
TX,48
KS,20
TX,48
TX,48
TX,48
TX,48
KY,21
IL,17
IL,17
TX,48
TX,48
LA,22
AR,5
MS,28
AR,5
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
TN,47
IN,18
SC,45
OH,39
OH,39
NC,37
CA,6
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MS,28
AL,1
MS,28
AL,1
AL,1
GA,13
AL,1
GA,13
GA,13
OH,39
AL,1
AL,1
MS,28
AL,1
AL,1
GA,13
SC,45
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
NM,35
TN,47
AL,1
FL,12
TX,48
TX,48
LA,22
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
AR,5
TX,48
MO,29
MO,29
IN,18
IN,18
IN,18
NC,37
TX,48
IN,18
IN,18
MS,28
NM,35
NM,35
FL,12
TX,48
NM,35
TX,48
TX,48
TX,48
TX,48
WY,56
TX,48
TX,48
TX,48
TX,48
TX,48
NM,35
TX,48
TX,48
TX,48
OK,40
CO,8
TX,48
OK,40
TX,48
CO,8
CO,8
NE,31
WY,56
OK,40
OK,40
OK,40
OK,40
GA,13
AL,1
AL,1
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
CA,6
OK,40
OK,40
MO,29
IL,17
IN,18
AR,5
KY,21
KY,21
IN,18
TN,47
KY,21
KY,21
KY,21
KY,21
TN,47
KY,21
GA,13
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
GA,13
GA,13
GA,13
GA,13
MO,29
MT,30
TX,48
TX,48
MS,28
NE,31
NE,31
NE,31
KS,20
OK,40
OK,40
IA,19
IA,19
OK,40
MO,29
MO,29
OK,40
IA,19
MO,29
MO,29
OH,39
IL,17
IL,17
IN,18
IA,19
IN,18
TX,48
TX,48
TX,48
KY,21
TX,48
TN,47
OK,40
LA,22
TN,47
TN,47
TN,47
GA,13
MS,28
MS,28
MS,28
FL,12
FL,12
FL,12
TX,48
FL,12
TX,48
TX,48
TX,48
TX,48
KS,20
KS,20
TX,48
MS,28
AR,5
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
TX,48
OK,40
LA,22
MS,28
TX,48
FL,12
KS,20
LA,22
LA,22
FL,12
FL,12
GA,13
GA,13
SC,45
GA,13
FL,12
NC,37
OH,39
KS,20
OH,39
KS,20
KS,20
KS,20
KS,20
IA,19
IA,19
IA,19
IA,19
IA,19
WI,55
IA,19
IA,19
OK,40
WI,55
WI,55
FL,12
KS,20
OK,40
NE,31
IA,19
NE,31
OK,40
OK,40
IA,19
TX,48
TX,48
TX,48
IA,19
AR,5
AR,5
AR,5
MO,29
TX,48
IL,17
TN,47
KY,21
MI,26
TN,47
IN,18
TN,47
OH,39
MS,28
CO,8
CO,8
OR,41
TX,48
TX,48
OK,40
WY,56
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
KS,20
TX,48
NE,31
NE,31
NE,31
KS,20
KS,20
NE,31
IA,19
IA,19
IA,19
MN,27
MN,27
MN,27
OK,40
IA,19
KS,20
TX,48
IA,19
IA,19
IA,19
KS,20
IA,19
MO,29
KS,20
KS,20
KS,20
OK,40
WI,55
IL,17
MO,29
MO,29
NE,31
KS,20
MI,26
OH,39
OH,39
MT,30
MT,30
PA,42
OK,40
WY,56
SD,46
MT,30
CO,8
SD,46
MT,30
CO,8
MT,30
ND,38
NE,31
SD,46
SD,46
SD,46
NE,31
MS,28
SD,46
SD,46
SD,46
NE,31
WI,55
SD,46
ND,38
NE,31
NE,31
KS,20
SD,46
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MI,26
SD,46
SD,46
SD,46
NE,31
SD,46
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
KS,20
NE,31
IA,19
IA,19
KS,20
NE,31
NE,31
WI,55
IA,19
IA,19
WI,55
MN,27
MI,26
WI,55
SD,46
MN,27
SD,46
SD,46
MI,26
MN,27
MN,27
OK,40
OK,40
MO,29
WY,56
SD,46
SD,46
SD,46
TX,48
WY,56
SD,46
LA,22
TX,48
TX,48
KS,20
ND,38
NE,31
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
SD,46
NE,31
KS,20
OK,40
OK,40
TX,48
TX,48
KS,20
SD,46
KS,20
OK,40
KS,20
NE,31
SD,46
MO,29
FL,12
NM,35
TX,48
NM,35
TX,48
SD,46
WY,56
FL,12
WI,55
NE,31
TX,48
KS,20
NE,31
TX,48
TN,47
TN,47
NM,35
MO,29
GA,13
AL,1
TX,48
HI,15
IL,17
SD,46
GA,13
SD,46
SD,46
TX,48
NE,31
WI,55
WI,55
FL,12
WI,55
FL,12
ND,38
ND,38
MN,27
SD,46
SD,46
SD,46
SD,46
TN,47
SD,46
SD,46
MN,27
MN,27
TX,48
TX,48
TX,48
TX,48
ND,38
ND,38
TX,48
ND,38
ND,38
ND,38
FL,12
KS,20
LA,22
TX,48
LA,22
MO,29
WI,55
WI,55
SD,46
WI,55
IA,19
WI,55
WI,55
WI,55
TX,48
CO,8
MS,28
FL,12
TX,48
MT,30
CO,8
CO,8
TX,48
ME,23
MN,27
MA,25
ME,23
MA,25
NE,31
NE,31
FL,12
MT,30
CO,8
CO,8
KS,20
NE,31
NE,31
SD,46
SD,46
SD,46
SD,46
SD,46
NE,31
NE,31
MI,26
MN,27
SD,46
ND,38
ND,38
FL,12
TX,48
ND,38
ND,38
ND,38
WI,55
FL,12
NE,31
KS,20
SD,46
SD,46
MO,29
FL,12
KY,21
IA,19
IA,19
IA,19
IA,19
IA,19
OH,39
PA,42
WV,54
MD,24
MN,27
MO,29
MO,29
TN,47
CO,8
AZ,4
OK,40
MA,25
AZ,4
MN,27
WI,55
KY,21
WI,55
TX,48
IL,17
OH,39
GA,13
NJ,34
NJ,34
CT,9
TX,48
TX,48
GA,13
GA,13
FL,12
WI,55
FL,12
FL,12
MO,29
OH,39
SD,46
TX,48
WI,55
TX,48
AR,5
FL,12
NM,35
NE,31
MN,27
MN,27
KS,20
MN,27
IN,18
FL,12
TX,48
NY,36
NY,36
CT,9
FL,12
MD,24
ME,23
ME,23
ME,23
FL,12
MO,29
FL,12
FL,12
TX,48
TX,48
TX,48
TX,48
TX,48
NM,35
MN,27
MN,27
MI,26
MI,26
OH,39
TX,48
NY,36
ME,23
ME,23
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
NV,32
TX,48
TX,48
TX,48
TX,48
ND,38
KS,20
NY,36
IL,17
TX,48
NY,36
FL,12
TX,48
IL,17
MS,28
TX,48
TX,48
NJ,34
VA,51
MS,28
FL,12
FL,12
FL,12
WA,53
AZ,4
AR,5
AR,5
AZ,4
AZ,4
UT,49
WI,55
IN,18
WI,55
FL,12
TX,48
TX,48
TX,48
FL,12
FL,12
OH,39
TX,48
TX,48
MD,24
TX,48
SC,45
MA,25
AZ,4
LA,22
LA,22
LA,22
LA,22
MS,28
LA,22
LA,22
LA,22
AL,1
MS,28
MS,28
PA,42
AL,1
AL,1
AL,1
FL,12
NM,35
AL,1
MN,27
NM,35
LA,22
TX,48
WI,55
WI,55
WI,55
IA,19
SD,46
SD,46
TX,48
MS,28
ME,23
OH,39
TX,48
FL,12
TX,48
CO,8
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
KS,20
TX,48
TX,48
CO,8
KS,20
TX,48
TX,48
TX,48
NE,31
NE,31
KS,20
KS,20
NE,31
SD,46
AZ,4
TX,48
TX,48
IN,18
WA,53
OK,40
WI,55
MO,29
MO,29
WI,55
IL,17
IL,17
VA,51
MA,25
MA,25
ME,23
ME,23
ME,23
TX,48
TX,48
TX,48
TX,48
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
LA,22
LA,22
IL,17
MS,28
MS,28
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
OK,40
AR,5
OK,40
MO,29
TX,48
MO,29
AR,5
AR,5
TN,47
MO,29
MO,29
KY,21
KY,21
KY,21
IL,17
MS,28
MS,28
KY,21
HI,15
AL,1
WA,53
HI,15
TX,48
FL,12
MS,28
AL,1
GA,13
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
SC,45
GA,13
AL,1
SC,45
GA,13
GA,13
FL,12
AL,1
GA,13
GA,13
AL,1
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
SC,45
GA,13
FL,12
FL,12
FL,12
GA,13
FL,12
FL,12
FL,12
LA,22
MO,29
AR,5
AR,5
MS,28
MS,28
AL,1
AL,1
FL,12
FL,12
GA,13
FL,12
GA,13
MD,24
FL,12
MS,28
FL,12
TX,48
TX,48
LA,22
TX,48
LA,22
GA,13
GA,13
FL,12
GA,13
AL,1
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
SC,45
TX,48
LA,22
TX,48
TX,48
TX,48
AR,5
AR,5
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
TX,48
AR,5
AR,5
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
TX,48
MS,28
OR,41
WA,53
WA,53
WA,53
IL,17
IL,17
IL,17
IL,17
IL,17
IL,17
IN,18
AR,5
AR,5
AR,5
TN,47
GA,13
GA,13
GA,13
KY,21
MI,26
MI,26
MI,26
OK,40
MO,29
OK,40
IL,17
IL,17
IN,18
MO,29
KY,21
IL,17
TX,48
OK,40
LA,22
LA,22
AR,5
TN,47
MS,28
FL,12
OK,40
OK,40
TX,48
OK,40
KS,20
TX,48
TX,48
OK,40
OK,40
TN,47
MO,29
MS,28
MS,28
IL,17
IL,17
MS,28
IL,17
TN,47
TN,47
IL,17
KY,21
IL,17
KY,21
TN,47
KY,21
MS,28
KY,21
MS,28
LA,22
AL,1
GA,13
GA,13
TX,48
OK,40
KS,20
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MO,29
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
OK,40
OK,40
TX,48
TX,48
WI,55
TX,48
NY,36
PA,42
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MS,28
MS,28
MS,28
MS,28
MS,28
MS,28
LA,22
MS,28
MS,28
MS,28
NM,35
FL,12
GA,13
KS,20
TX,48
CO,8
TX,48
TX,48
TX,48
TX,48
CO,8
NM,35
NM,35
NM,35
NM,35
NM,35
TX,48
TX,48
TX,48
TX,48
NM,35
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
LA,22
TX,48
TX,48
TX,48
TX,48
TX,48
IL,17
IL,17
IN,18
IN,18
WI,55
TN,47
MI,26
NC,37
TX,48
TX,48
TX,48
TX,48
TX,48
ND,38
FL,12
TX,48
TX,48
SD,46
SD,46
SD,46
NE,31
NE,31
KS,20
SD,46
KS,20
NE,31
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
OK,40
OK,40
OK,40
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
SD,46
TX,48
TX,48
TX,48
TX,48
MN,27
SD,46
SD,46
IA,19
SD,46
SD,46
SD,46
KS,20
ND,38
SD,46
SD,46
NE,31
NE,31
SD,46
SD,46
SD,46
CO,8
OK,40
TX,48
MI,26
NY,36
NH,33
NH,33
ND,38
TX,48
IL,17
IA,19
IA,19
IA,19
IA,19
CA,6
ID,16
NE,31
AL,1
AR,5
NY,36
IL,17
WY,56
SD,46
TX,48
MT,30
MT,30
MT,30
MT,30
FL,12
ND,38
ND,38
SD,46
IA,19
TX,48
SD,46
IA,19
IA,19
WI,55
WI,55
AZ,4
MI,26
NM,35
TX,48
TX,48
NM,35
WY,56
NM,35
TX,48
NE,31
TX,48
TX,48
NM,35
MN,27
CO,8
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
FL,12
NE,31
FL,12
SD,46
NE,31
FL,12
FL,12
FL,12
GA,13
GA,13
IL,17
SD,46
IL,17
OK,40
OH,39
AR,5
AZ,4
AZ,4
AZ,4
AZ,4
AZ,4
AZ,4
CO,8
CO,8
TX,48
TX,48
TX,48
CO,8
CO,8
CO,8
OK,40
KS,20
GA,13
FL,12
FL,12
FL,12
GA,13
FL,12
OK,40
GA,13
GA,13
AL,1
ND,38
GA,13
GA,13
GA,13
OK,40
OK,40
OK,40
TN,47
PR,72
TN,47
SD,46
MS,28
FL,12
TX,48
NM,35
OK,40
AR,5
IA,19
AR,5
NE,31
OK,40
ND,38
IA,19
TX,48
TX,48
NM,35
MO,29
KS,20
KY,21
TN,47
TX,48
TX,48
TX,48
NM,35
MA,25
NH,33
MA,25
TX,48
AL,1
TX,48
TX,48
FL,12
IA,19
IA,19
CO,8
KS,20
CO,8
OH,39
TX,48
ME,23
MN,27
LA,22
SD,46
MI,26
MI,26
KS,20
IL,17
TX,48
FL,12
TX,48
WI,55
IA,19
WI,55
WI,55
WI,55
IL,17
IL,17
TX,48
WI,55
SD,46
OK,40
IA,19
IL,17
IL,17
IL,17
NM,35
IL,17
TX,48
TX,48
IN,18
VT,50
NH,33
WI,55
SD,46
SD,46
NM,35
TX,48
KS,20
NE,31
MI,26
NE,31
WI,55
NE,31
NE,31
NM,35
NH,33
NH,33
MA,25
MN,27
MA,25
CT,9
SD,46
TX,48
AZ,4
OH,39
OH,39
ME,23
NY,36
SD,46
NE,31
