st,stf
KS,20
CO,8
NE,31
KS,20
SD,46
SD,46
SD,46
FL,12
OK,40
TN,47
ND,38
ND,38
ND,38
MN,27
IA,19
KS,20
KS,20
KS,20
OK,40
ND,38
NE,31
OK,40
OK,40
AR,5
AR,5
OK,40
MN,27
MO,29
IL,17
PA,42
MT,30
MT,30
NC,37
PA,42
ND,38
MN,27
MS,28
MS,28
KS,20
KS,20
NJ,34
TX,48
NE,31
NE,31
KS,20
OK,40
FL,12
PA,42
MO,29
MN,27
NC,37
VA,51
MD,24
NC,37
AZ,4
MO,29
KS,20
IA,19
AR,5
NC,37
TX,48
KY,21
CA,6
AR,5
AL,1
AL,1
SC,45
FL,12
FL,12
FL,12
AL,1
AL,1
TN,47
GA,13
GA,13
MS,28
AL,1
LA,22
TX,48
TX,48
OK,40
OK,40
OK,40
OK,40
AR,5
MS,28
MS,28
MS,28
MS,28
AL,1
AL,1
AL,1
AL,1
TX,48
TX,48
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
AR,5
AR,5
AR,5
MS,28
MO,29
TN,47
TN,47
TN,47
TN,47
TN,47
IL,17
TN,47
IN,18
IN,18
NC,37
AL,1
IN,18
IN,18
IA,19
IA,19
MS,28
IA,19
MN,27
IA,19
LA,22
MS,28
TN,47
AL,1
OK,40
KS,20
MO,29
MO,29
OK,40
MS,28
FL,12
AL,1
KS,20
IL,17
IL,17
AL,1
FL,12
FL,12
MS,28
OK,40
OK,40
OH,39
TN,47
TN,47
TN,47
TN,47
NC,37
AL,1
GA,13
GA,13
OK,40
AR,5
OK,40
OK,40
OK,40
AR,5
MS,28
IA,19
CA,6
OK,40
OK,40
NE,31
TX,48
NE,31
TX,48
TX,48
LA,22
GA,13
GA,13
GA,13
GA,13
GA,13
GA,13
VA,51
NC,37
AL,1
AL,1
AL,1
AL,1
TN,47
TN,47
LA,22
VA,51
MS,28
MS,28
MS,28
MS,28
AL,1
AL,1
SD,46
SD,46
NE,31
KS,20
NE,31
NE,31
OK,40
NE,31
OK,40
OK,40
OK,40
KS,20
OK,40
KS,20
KS,20
KS,20
NE,31
AR,5
NE,31
MO,29
IA,19
MN,27
IA,19
IA,19
MN,27
IA,19
IA,19
WI,55
TX,48
OK,40
TX,48
OK,40
TX,48
TN,47
MS,28
LA,22
TX,48
KS,20
LA,22
LA,22
LA,22
VA,51
LA,22
NE,31
MI,26
VA,51
LA,22
LA,22
TX,48
OK,40
CA,6
FL,12
IA,19
IA,19
MI,26
PA,42
IA,19
MT,30
MD,24
NE,31
KS,20
KS,20
KS,20
WY,56
SD,46
KS,20
WY,56
KS,20
SD,46
ND,38
ND,38
SD,46
SD,46
NE,31
ND,38
ND,38
ND,38
PA,42
SC,45
TX,48
SC,45
NE,31
NE,31
SD,46
FL,12
FL,12
UT,49
